yyyy-mm,departure_port,departure_lon,departure_lat,arrival_port,arrival_lon,arrival_lat,route,nonimal_fare_(AUD),real_fare_(AUD),normalized_nominal_fare,normalized_real_fare
2023-Nov,Adelaide,-34.9285,138.6007,Darwin,130.8456,-12.4634,Adelaide - Darwin,1365,1378,0.882313829787234,0.8374446552814674
2023-Nov,Adelaide,-34.9285,138.6007,Melbourne,144.9631,-37.8136,Adelaide - Melbourne,318,321,0.18617021276595744,0.16888045540796964
2023-Nov,Adelaide,-34.9285,138.6007,Perth,115.8605,-31.9505,Adelaide - Perth,430,434,0.26063829787234044,0.24035420619860848
2023-Nov,Adelaide,-34.9285,138.6007,Sydney,151.2093,-33.8688,Adelaide - Sydney,379,383,0.22672872340425532,0.20809614168247945
2023-Nov,Brisbane,-27.4698,153.0251,Canberra,149.13,-35.2809,Brisbane - Canberra,452,456,0.2752659574468085,0.25426944971537
2023-Nov,Brisbane,-27.4698,153.0251,Darwin,130.8456,-12.4634,Brisbane - Darwin,903,912,0.5751329787234043,0.5426944971537002
2023-Nov,Brisbane,-27.4698,153.0251,Hobart,147.3272,-42.8821,Brisbane - Hobart,398,402,0.2393617021276596,0.22011385199240988
2023-Nov,Brisbane,-27.4698,153.0251,Melbourne,144.9631,-37.8136,Brisbane - Melbourne,291,294,0.16821808510638298,0.15180265654648956
2023-Nov,Brisbane,-27.4698,153.0251,Perth,115.8605,-31.9505,Brisbane - Perth,763,770,0.4820478723404255,0.45287792536369387
2023-Nov,Brisbane,-27.4698,153.0251,Sydney,151.2093,-33.8688,Brisbane - Sydney,225,227,0.12433510638297872,0.10942441492726122
2023-Nov,Canberra,-35.2809,149.13,Melbourne,144.9631,-37.8136,Canberra - Melbourne,264,267,0.1502659574468085,0.1347248576850095
2023-Nov,Canberra,-35.2809,149.13,Sydney,151.2093,-33.8688,Canberra - Sydney,438,442,0.26595744680851063,0.24541429475015814
2023-Nov,Darwin,-12.4634,130.8456,Melbourne,144.9631,-37.8136,Darwin - Melbourne,744,751,0.46941489361702127,0.44086021505376344
2023-Nov,Darwin,-12.4634,130.8456,Perth,115.8605,-31.9505,Darwin - Perth,753,760,0.4753989361702128,0.4465528146742568
2023-Nov,Darwin,-12.4634,130.8456,Sydney,151.2093,-33.8688,Darwin - Sydney,1059,1069,0.6788563829787234,0.6419987349778621
2023-Nov,Gold Coast,-28.0167,153.4,Sydney,151.2093,-33.8688,Gold Coast - Sydney,184,186,0.09707446808510638,0.08349146110056926
2023-Nov,Hobart,-42.8821,147.3272,Melbourne,144.9631,-37.8136,Hobart - Melbourne,297,300,0.17220744680851063,0.1555977229601518
2023-Nov,Hobart,-42.8821,147.3272,Sydney,151.2093,-33.8688,Hobart - Sydney,255,257,0.14428191489361702,0.1283997469955724
2023-Nov,Melbourne,-37.8136,144.9631,Perth,115.8605,-31.9505,Melbourne - Perth,650,656,0.40691489361702127,0.38077166350411135
2023-Nov,Melbourne,-37.8136,144.9631,Sydney,151.2093,-33.8688,Melbourne - Sydney,165,167,0.08444148936170212,0.07147375079063883
2023-Nov,Perth,-31.9505,115.8605,Sydney,151.2093,-33.8688,Perth - Sydney,732,739,0.46143617021276595,0.433270082226439
2023-May,Adelaide,-34.9285,138.6007,Alice Springs,133.8807,-23.698,Adelaide - Alice Springs,604,615,0.37632978723404253,0.3548387096774194
2023-May,Adelaide,-34.9285,138.6007,Brisbane,153.0251,-27.4698,Adelaide - Brisbane,398,405,0.2393617021276596,0.222011385199241
2023-May,Adelaide,-34.9285,138.6007,Canberra,149.13,-35.2809,Adelaide - Canberra,379,386,0.22672872340425532,0.20999367488931056
2023-May,Adelaide,-34.9285,138.6007,Darwin,130.8456,-12.4634,Adelaide - Darwin,532,542,0.32845744680851063,0.30866540164452877
2023-May,Adelaide,-34.9285,138.6007,Melbourne,144.9631,-37.8136,Adelaide - Melbourne,143,146,0.06981382978723404,0.058191018342821
2023-May,Adelaide,-34.9285,138.6007,Perth,115.8605,-31.9505,Adelaide - Perth,538,548,0.3324468085106383,0.312460468058191
2023-May,Adelaide,-34.9285,138.6007,Sydney,151.2093,-33.8688,Adelaide - Sydney,250,255,0.14095744680851063,0.127134724857685
2023-May,Brisbane,-27.4698,153.0251,Canberra,149.13,-35.2809,Brisbane - Canberra,304,310,0.1768617021276596,0.16192283364958887
2023-May,Brisbane,-27.4698,153.0251,Darwin,130.8456,-12.4634,Brisbane - Darwin,622,633,0.3882978723404255,0.36622390891840606
2023-May,Brisbane,-27.4698,153.0251,Hobart,147.3272,-42.8821,Brisbane - Hobart,258,263,0.14627659574468085,0.13219481340923467
2023-May,Brisbane,-27.4698,153.0251,Melbourne,144.9631,-37.8136,Brisbane - Melbourne,218,222,0.1196808510638298,0.1062618595825427
2023-May,Brisbane,-27.4698,153.0251,Perth,115.8605,-31.9505,Brisbane - Perth,528,538,0.3257978723404255,0.30613535736875397
2023-May,Brisbane,-27.4698,153.0251,Sydney,151.2093,-33.8688,Brisbane - Sydney,150,153,0.07446808510638298,0.06261859582542695
2023-May,Canberra,-35.2809,149.13,Melbourne,144.9631,-37.8136,Canberra - Melbourne,170,173,0.08776595744680851,0.07526881720430108
2023-May,Canberra,-35.2809,149.13,Sydney,151.2093,-33.8688,Canberra - Sydney,418,426,0.2526595744680851,0.23529411764705882
2023-May,Darwin,-12.4634,130.8456,Melbourne,144.9631,-37.8136,Darwin - Melbourne,725,738,0.456781914893617,0.43263757115749524
2023-May,Darwin,-12.4634,130.8456,Perth,115.8605,-31.9505,Darwin - Perth,1129,1150,0.7253989361702128,0.6932321315623023
2023-May,Darwin,-12.4634,130.8456,Sydney,151.2093,-33.8688,Darwin - Sydney,643,655,0.40226063829787234,0.3801391524351676
2023-May,Gold Coast,-28.0167,153.4,Sydney,151.2093,-33.8688,Gold Coast - Sydney,158,161,0.0797872340425532,0.06767868437697659
2023-May,Hobart,-42.8821,147.3272,Melbourne,144.9631,-37.8136,Hobart - Melbourne,276,281,0.15824468085106383,0.14358001265022138
2023-May,Hobart,-42.8821,147.3272,Sydney,151.2093,-33.8688,Hobart - Sydney,338,344,0.19946808510638298,0.1834282099936749
2023-May,Melbourne,-37.8136,144.9631,Perth,115.8605,-31.9505,Melbourne - Perth,499,508,0.3065159574468085,0.28716002530044277
2023-May,Melbourne,-37.8136,144.9631,Sydney,151.2093,-33.8688,Melbourne - Sydney,178,181,0.09308510638297872,0.08032890575585072
2023-May,Perth,-31.9505,115.8605,Sydney,151.2093,-33.8688,Perth - Sydney,420,428,0.25398936170212766,0.23655913978494625
2023-Mar,Adelaide,-34.9285,138.6007,Alice Springs,133.8807,-23.698,Adelaide - Alice Springs,668,686,0.41888297872340424,0.3997469955724225
2023-Mar,Adelaide,-34.9285,138.6007,Brisbane,153.0251,-27.4698,Adelaide - Brisbane,482,495,0.29521276595744683,0.27893738140417457
2023-Mar,Adelaide,-34.9285,138.6007,Canberra,149.13,-35.2809,Adelaide - Canberra,508,521,0.3125,0.29538266919671097
2023-Mar,Adelaide,-34.9285,138.6007,Darwin,130.8456,-12.4634,Adelaide - Darwin,340,349,0.20079787234042554,0.18659076533839342
2023-Mar,Adelaide,-34.9285,138.6007,Melbourne,144.9631,-37.8136,Adelaide - Melbourne,329,338,0.1934840425531915,0.17963314358001264
2023-Mar,Adelaide,-34.9285,138.6007,Perth,115.8605,-31.9505,Adelaide - Perth,888,911,0.5651595744680851,0.5420619860847565
2023-Mar,Adelaide,-34.9285,138.6007,Sydney,151.2093,-33.8688,Adelaide - Sydney,332,341,0.19547872340425532,0.18153067678684376
2023-Mar,Brisbane,-27.4698,153.0251,Canberra,149.13,-35.2809,Brisbane - Canberra,458,470,0.27925531914893614,0.2631246046805819
2023-Mar,Brisbane,-27.4698,153.0251,Darwin,130.8456,-12.4634,Brisbane - Darwin,496,509,0.3045212765957447,0.28779253636938645
2023-Mar,Brisbane,-27.4698,153.0251,Hobart,147.3272,-42.8821,Brisbane - Hobart,521,535,0.3211436170212766,0.30423782416192285
2023-Mar,Brisbane,-27.4698,153.0251,Melbourne,144.9631,-37.8136,Brisbane - Melbourne,399,410,0.24002659574468085,0.2251739405439595
2023-Mar,Brisbane,-27.4698,153.0251,Perth,115.8605,-31.9505,Brisbane - Perth,938,963,0.598404255319149,0.5749525616698292
2023-Mar,Brisbane,-27.4698,153.0251,Sydney,151.2093,-33.8688,Brisbane - Sydney,168,172,0.08643617021276596,0.07463630613535736
2023-Mar,Canberra,-35.2809,149.13,Melbourne,144.9631,-37.8136,Canberra - Melbourne,216,222,0.11835106382978723,0.1062618595825427
2023-Mar,Canberra,-35.2809,149.13,Sydney,151.2093,-33.8688,Canberra - Sydney,465,477,0.2839095744680851,0.2675521821631879
2023-Mar,Darwin,-12.4634,130.8456,Melbourne,144.9631,-37.8136,Darwin - Melbourne,614,630,0.3829787234042553,0.36432637571157495
2023-Mar,Darwin,-12.4634,130.8456,Perth,115.8605,-31.9505,Darwin - Perth,774,794,0.48936170212765956,0.46805819101834284
2023-Mar,Darwin,-12.4634,130.8456,Sydney,151.2093,-33.8688,Darwin - Sydney,449,461,0.2732712765957447,0.25743200506008856
2023-Mar,Gold Coast,-28.0167,153.4,Sydney,151.2093,-33.8688,Gold Coast - Sydney,147,151,0.07247340425531915,0.061353573687539534
